medarb. initialer;jobnr;aktivitetsnavn;timer;dato (dd-mm-yyyy);kommentar
JC;93;Undervisning;02.14;02-01-2014;undervisning
JC;26;WP4;05.36;02-01-2014;Fsd work
JC;26;WP4;04.24;03-01-2014;Fsd work
JC;26;WP4;00.31;03-01-2014;Fsd work
JC;26;WP4;06.45;06-01-2014;Fsd work
JC;26;WP4;03.00;06-01-2014;Fsd work
JC;26;WP4;03.00;07-01-2014;Fsd work
JC;93;Undervisning;04.00;07-01-2014;undervisning
JC;26;WP4;01.00;07-01-2014;Fsd work
JC;26;WP4;01.00;07-01-2014;Fsd work
JC;26;WP4;05.00;08-01-2014;Fsd work
JC;26;WP4;02.20;08-01-2014;Fsd work
JC;93;Undervisning;01.00;09-01-2014;undervisning
JC;26;WP4;08.15;09-01-2014;Fsd work
JC;26;WP4;08.18;10-01-2014;Fsd work
JC;26;WP4;04.00;11-01-2014;Fsd work
JC;93;Undervisning;07.00;14-01-2014;undervisning
JC;26;WP4;06.02;13-01-2014;Fsd work 
JC;93;Undervisning;02.00;13-01-2014;Fsd work
JC;93;Undervisning;06.00;15-01-2014;undervisning
JC;26;WP4;09.00;16-01-2014;Fsd work
JC;93;Undervisning;06.00;17-01-2014;undervisning
JC;26;WP4;01.00;17-01-2014;Fsd work 
JC;26;WP4;05.18;20-01-2014;Fsd work
JC;26;WP4;04.00;20-01-2014;Fsd work
JC;26;WP4;06.00;21-01-2014;Fsd demo
JC;26;WP4;10.00;22-01-2014;Demo and meeting 
JC;26;WP4;09.00;23-01-2014;Meeting
JC;93;Undervisning;07.00;24-01-2014;undervisning
JC;93;Undervisning;05.00;25-01-2014;undervisning
JC;93;Undervisning;04.00;26-01-2014;undervisning
JC;93;Undervisning;07.00;27-01-2014;undervisning
JC;93;Undervisning;08.30;28-01-2014;undervisning
JC;93;Undervisning;10.00;29-01-2014;undervisning
JC;93;Undervisning;07.00;30-01-2014;undervisning
JC;93;Undervisning;01.10;30-01-2014;undervisning
JC;93;Undervisning;05.00;31-01-2014;undervisning
